98,,"J.R. Smith
SHOOTING GUARD","$6,515,510"
99,,"Carl Landry
POWER FORWARD","$6,500,000"
100,,"Greivis Vasquez
POINT GUARD","$6,400,000"
101,,"Derrick Williams
POWER FORWARD","$6,331,404"
102,,"Jarrett Jack
POINT GUARD","$6,300,000"
103,,"Kyle Korver
SHOOTING GUARD","$6,253,521"
104,,"Landry Fields
SMALL FORWARD","$6,250,000"
105,,"Robin Lopez
CENTER","$6,124,729"
106,,"Jason Thompson
POWER FORWARD","$6,037,500"
107,,"Gerald Henderson
SHOOTING GUARD","$6,000,000"
,,"Jodie Meeks
SHOOTING GUARD","$6,000,000"
109,,"Chuck Hayes
POWER FORWARD","$5,958,750"
110,,"Spencer Hawes
POWER FORWARD","$5,871,309"
111,,"Jason Terry
SHOOTING GUARD","$5,850,313"
112,,"Patrick Patterson
POWER FORWARD","$5,831,326"
113,,"P.J. Tucker
SMALL FORWARD","$5,700,000"
114,,"Enes Kanter
POWER FORWARD","$5,694,674"
115,,"Anthony Davis
POWER FORWARD","$5,607,240"
116,,"Anthony Bennett
POWER FORWARD","$5,563,920"
117,,"Andrew Wiggins
SMALL FORWARD","$5,510,640"
118,,"Greg Monroe
CENTER","$5,479,933"
119,,"Jamal Crawford
SHOOTING GUARD","$5,450,000"
,,"Louis Williams
SHOOTING GUARD","$5,450,000"
,,"Courtney Lee
SHOOTING GUARD","$5,450,000"
122,,"J.J Hickson
POWER FORWARD","$5,381,750"
,,"Martell Webster
SMALL FORWARD","$5,381,750"
124,,"Chris Andersen
POWER FORWARD","$5,375,000"
125,,"Nikola Mirotic
POWER FORWARD","$5,305,000"
,,"Paul Pierce
SMALL FORWARD","$5,305,000"
,,"Shaun Livingston
POINT GUARD","$5,305,000"
,,"Josh McRoberts
POWER FORWARD","$5,305,000"
129,,"Zaza Pachulia
CENTER","$5,200,000"
130,,"Tristan Thompson
CENTER","$5,138,430"
131,,"Michael Kidd-Gilchrist
SMALL FORWARD","$5,016,960"
132,,"Brandan Wright
POWER FORWARD","$5,000,000"
,,"Trevor Booker
POWER FORWARD","$5,000,000"
,,"Chase Budinger
SMALL FORWARD","$5,000,000"
135,,"Nick Young
SMALL FORWARD","$4,994,420"
136,,"Victor Oladipo
SHOOTING GUARD","$4,978,200"
137,,"Jabari Parker
POWER FORWARD","$4,930,560"
138,,"Luis Scola
POWER FORWARD","$4,868,499"
139,,"Tony Allen
SHOOTING GUARD","$4,831,461"
140,,"Chris Kaman
CENTER","$4,800,000"
141,,"Darren Collison
POINT GUARD","$4,797,664"
,,"Kostas Papanikolaou
SMALL FORWARD","$4,797,664"
143,,"Corey Brewer
SHOOTING GUARD","$4,702,500"
144,,"Ricky Rubio
POINT GUARD","$4,660,479"
145,,"Timofey Mozgov
CENTER","$4,650,000"
146,,"Andre Miller
POINT GUARD","$4,625,000"
147,,"Bradley Beal
SHOOTING GUARD","$4,505,280"
148,,"Ben Gordon
SHOOTING GUARD","$4,500,000"
,,"Jonas Jerebko
POWER FORWARD","$4,500,000"
,,"Caron Butler
SMALL FORWARD","$4,500,000"
151,,"Otto Porter Jr.
SMALL FORWARD","$4,470,480"
152,,"Joel Embiid
CENTER","$4,427,640"
153,,"Luc Richard Mbah a Moute
SMALL FORWARD","$4,382,576"
154,,"Jared Dudley
POWER FORWARD","$4,250,000"
,,"Kris Humphries
POWER FORWARD","$4,250,000"
156,,"C.J. Miles
SHOOTING GUARD","$4,205,000"
157,,"Thabo Sefolosha
SMALL FORWARD","$4,150,000"
158,,"Dion Waiters
SHOOTING GUARD","$4,062,000"
159,,"Cody Zeller
POWER FORWARD","$4,030,560"
160,,"Danny Green
SHOOTING GUARD","$4,025,000"
161,,"Mario Chalmers
POINT GUARD","$4,000,000"
,,"Ian Mahinmi
CENTER","$4,000,000"
163,,"Aaron Gordon
SMALL FORWARD","$3,992,040"
164,,"Mo Williams
POINT GUARD","$3,965,074"
165,,"Vince Carter
SHOOTING GUARD","$3,911,981"
166,,"Kevin Seraphin
POWER FORWARD","$3,898,691"
167,,"Devin Harris
POINT GUARD","$3,878,896"
168,,"Bismack Biyombo
POWER FORWARD","$3,873,398"
169,,"Patrick Mills
POINT GUARD","$3,842,105"
170,,"Joel Anthony
CENTER","$3,800,000"
171,,"Raymond Felton
POINT GUARD","$3,793,693"
172,,"Thomas Robinson
POWER FORWARD","$3,678,360"
,,"Jonas Valanciunas
CENTER","$3,678,360"
174,,"Marreese Speights
CENTER","$3,657,500"
175,,"Alex Len
CENTER","$3,649,920"
176,,"Dante Exum
SHOOTING GUARD","$3,615,000"
177,,"Brandon Knight
POINT GUARD","$3,553,917"
178,,"Gerald Green
SHOOTING GUARD","$3,500,000"
179,,"Darrell Arthur
POWER FORWARD","$3,457,149"
180,,"Steve Novak
SMALL FORWARD","$3,445,947"
181,,"Matt Barnes
SMALL FORWARD","$3,396,250"
182,,"Mirza Teletovic
POWER FORWARD","$3,368,100"
183,,"Damian Lillard
POINT GUARD","$3,340,920"
184,,"Mike Scott
POWER FORWARD","$3,333,333"
185,,"Mike Dunleavy
SMALL FORWARD","$3,326,235"
,,"Tyler Hansbrough
POWER FORWARD","$3,326,235"
187,,"Nerlens Noel
CENTER","$3,315,120"
188,,"Marcus Smart
POINT GUARD","$3,283,320"
189,,"Alexey Shved
POINT GUARD","$3,282,056"
190,,"Jason Smith
POWER FORWARD","$3,278,000"
,,"Evan Turner
SMALL FORWARD","$3,278,000"
,,"Bojan Bogdanovic
SMALL FORWARD","$3,278,000"
193,,"Kemba Walker
POINT GUARD","$3,272,091"
